repo,classes,interfaces,enums,annotations,records,total_main,java_files_main,total_test,java_files_test
nablarch-backward-compatibility,9,0,0,0,0,9,9,1,1
nablarch-common-auth-jdbc,9,0,0,0,0,9,10,11,11
nablarch-common-auth-session,2,0,0,0,0,2,3,4,3
nablarch-common-auth,11,5,0,1,0,17,17,23,16
nablarch-common-code-jdbc,5,0,0,0,0,5,4,4,4
nablarch-common-code,7,2,0,3,0,12,9,19,11
nablarch-common-dao,23,2,0,0,0,25,23,98,20
nablarch-common-databind,39,8,3,11,0,61,54,81,19
nablarch-common-date,4,0,0,2,0,6,6,4,4
nablarch-common-encryption,3,1,0,0,0,4,4,1,1
nablarch-common-exclusivecontrol-jdbc,2,0,0,0,0,2,2,10,10
nablarch-common-exclusivecontrol,4,1,0,0,0,5,6,4,2
nablarch-common-idgenerator-jdbc,5,0,0,0,0,5,5,7,6
nablarch-common-idgenerator,1,2,0,0,0,3,4,2,2
nablarch-common-jdbc,4,0,0,0,0,4,6,9,9
nablarch-core-applog,93,7,0,0,0,100,42,79,51
nablarch-core-beans,35,6,0,1,0,42,38,117,41
nablarch-core-dataformat,78,6,2,0,0,86,80,116,94
nablarch-core-jdbc,109,22,1,3,0,135,104,153,82
nablarch-core-message,5,0,0,0,0,5,6,2,2
nablarch-core-repository,53,8,5,3,0,69,59,118,101
nablarch-core-transaction,4,3,0,0,0,7,8,16,8
nablarch-core-validation-ee,29,4,0,20,0,53,24,68,21
nablarch-core-validation,36,8,0,11,0,55,61,76,51
nablarch-core,73,32,2,3,0,110,103,102,68
nablarch-doma-adaptor,11,0,0,1,1,13,12,19,20
nablarch-etl-maven-plugin,5,0,0,0,0,5,6,7,4
nablarch-etl,44,2,3,2,0,51,49,94,60
nablarch-example-batch-ee,5,0,0,0,0,5,5,1,1
nablarch-example-batch,14,0,0,1,0,15,14,7,7
nablarch-example-db-queue,2,0,0,0,0,2,2,1,1
nablarch-example-http-messaging-send,2,0,0,0,0,2,2,1,1
nablarch-example-http-messaging,4,1,2,0,0,7,7,3,3
nablarch-example-mom-delayed-receive,1,0,0,0,0,1,1,1,1
nablarch-example-mom-delayed-send,2,0,0,0,0,2,2,1,1
nablarch-example-mom-sync-receive,5,0,0,0,0,5,5,2,2
nablarch-example-mom-sync-send-batch,2,0,0,0,0,2,1,1,1
nablarch-example-mom-testing-common,1,0,0,0,0,1,1,1,1
nablarch-example-rest,13,1,2,0,0,16,16,6,6
nablarch-example-thymeleaf-web,10,3,2,1,0,16,16,0,0
nablarch-example-web,44,3,5,1,0,53,51,33,26
nablarch-example-workflow,28,1,5,1,0,35,34,0,0
nablarch-fw-batch-ee,33,8,0,1,0,42,49,69,64
nablarch-fw-batch,18,3,0,0,0,21,19,46,34
nablarch-fw-jaxrs,74,6,1,0,0,81,32,95,36
nablarch-fw-messaging-http,17,3,1,0,0,21,26,33,25
nablarch-fw-messaging-mom,8,0,0,0,0,8,7,29,21
nablarch-fw-messaging,56,7,1,0,0,64,46,79,60
nablarch-fw-scoped-dicontainer,83,22,0,6,0,111,98,193,58
nablarch-fw-standalone,41,6,0,0,0,47,34,91,53
nablarch-fw-web-dbstore,3,0,0,0,0,3,3,4,4
nablarch-fw-web-doublesubmit-jdbc,2,0,0,0,0,2,2,3,3
nablarch-fw-web-extension,11,2,0,0,0,13,12,15,12
